data;descricaoFuncionarioCargo;descricaoFuncionarioEscalaTrabalho;descricaoFuncionarioSindicato;descricaoPostoTrabalho;matricula
2026-02-01;ATENDENTE;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;ANVISA REC;ANVISA REC - ATENDENTE;1999
2026-02-01;ATENDENTE;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;ANVISA REC;ANVISA REC - ATENDENTE;1992
2026-02-01;ATENDENTE;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;ANVISA REC;ANVISA REC - ATENDENTE;2295
2026-02-01;ATENDENTE;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;ANVISA REC;ANVISA REC - ATENDENTE;2493
2026-02-01;DIGITALIZADOR;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;CAESB (GDOC);CAESB GDOC - DIGITALIZADOR;3536
2026-02-01;DIGITALIZADOR;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;CAESB (GDOC);CAESB GDOC - DIGITALIZADOR;2328
2026-02-01;DIGITALIZADOR;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;CAESB (GDOC);CAESB GDOC - DIGITALIZADOR;2325
2026-02-01;DIGITALIZADOR;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;CAESB (GDOC);CAESB GDOC - DIGITALIZADOR;2298
2026-02-01;SUPERVISOR;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;CAESB (GDOC);CAESB GDOC - SUPERVISOR INTERPRETE;3426
2026-02-01;SUPERVISOR;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;CAESB (GDOC);CAESB GDOC - SUPERVISOR INTERPRETE;2311
2026-02-01;CONTROLE DE QUALIDADE;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;CAESB (GDOC);CAESB GDOC - CONTROLE DE QUALIDADE;2316
2026-02-01;CONTROLE DE QUALIDADE;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;CAESB (GDOC);CAESB GDOC - CONTROLE DE QUALIDADE;2342
2026-02-01;CONTROLE DE QUALIDADE;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;CAESB (GDOC);CAESB GDOC - CONTROLE DE QUALIDADE;2321
2026-02-01;CONTROLE DE QUALIDADE;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;CAESB (GDOC);CAESB GDOC - CONTROLE DE QUALIDADE;2347
2026-02-01;PREPARADOR;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;CAESB (GDOC);CAESB GDOC - PREPARADOR;2335
2026-02-01;PREPARADOR;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;CAESB (GDOC);CAESB GDOC - PREPARADOR;2333
2026-02-01;PREPARADOR;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;CAESB (GDOC);CAESB GDOC - PREPARADOR;2306
2026-02-01;PREPARADOR;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;CAESB (GDOC);CAESB GDOC - PREPARADOR;2348
2026-02-01;PREPARADOR;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;CAESB (GDOC);CAESB GDOC - PREPARADOR;2307
2026-02-01;PREPARADOR;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;CAESB (GDOC);CAESB GDOC - PREPARADOR;2338
2026-02-01;PREPARADOR;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;CAESB (GDOC);CAESB GDOC - PREPARADOR;2300
2026-02-01;PREPARADOR;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;CAESB (GDOC);CAESB GDOC - PREPARADOR;2349
2026-02-01;ARQUIVISTA;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;CAESB (GDOC);CAESB GDOC - ARQUIVISTA;3104
2026-02-01;CLASSIFICADOR;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;CAESB (GDOC);CAESB GDOC - CLASSIFICADOR;2301
2026-02-01;CLASSIFICADOR;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;CAESB (GDOC);CAESB GDOC - CLASSIFICADOR;2845
2026-02-01;CLASSIFICADOR;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;CAESB (GDOC);CAESB GDOC - CLASSIFICADOR;2314
2026-02-01;CLASSIFICADOR;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;CAESB (GDOC);CAESB GDOC - CLASSIFICADOR;2334
2026-02-01;CLASSIFICADOR;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;CAESB (GDOC);CAESB GDOC - CLASSIFICADOR;2317
2026-02-01;CLASSIFICADOR;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;CAESB (GDOC);CAESB GDOC - CLASSIFICADOR;2351
2026-02-01;CLASSIFICADOR;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;CAESB (GDOC);CAESB GDOC - CLASSIFICADOR;2853
2026-02-01;CLASSIFICADOR;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;CAESB (GDOC);CAESB GDOC - CLASSIFICADOR;2350
