data;descricaoFuncionarioCargo;descricaoFuncionarioEscalaTrabalho;descricaoFuncionarioSindicato;descricaoPostoTrabalho;matricula
01/02/2026;SUPERVISOR;SEG,TER,QUA,QUI,SEX - 07:00:00-16:00:00;ANVISA REC;ANVISA REC - SUPERVISOR;1991
01/02/2026;ATENDENTE;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;ANVISA REC;ANVISA REC - ATENDENTE;1999
01/02/2026;ATENDENTE;SEG,TER,QUA,QUI,SEX - 13:00:00-19:00:00;ANVISA REC;ANVISA REC - ATENDENTE;3440
01/02/2026;ATENDENTE;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;ANVISA REC;ANVISA REC - ATENDENTE;1992
01/02/2026;ATENDENTE;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;ANVISA REC;ANVISA REC - ATENDENTE;2295
01/02/2026;ATENDENTE;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;ANVISA REC;ANVISA REC - ATENDENTE;2493
01/02/2026;DIGITALIZADOR;SEG,TER,QUA,QUI,SEX - 13:00:00-19:00:00;CAESB (GDOC);CAESB GDOC - DIGITALIZADOR;3648
01/02/2026;DIGITALIZADOR;SEG,TER,QUA,QUI,SEX - 13:00:00-19:00:00;CAESB (GDOC);CAESB GDOC - DIGITALIZADOR;2356
01/02/2026;DIGITALIZADOR;SEG,TER,QUA,QUI,SEX - 13:00:00-19:00:00;CAESB (GDOC);CAESB GDOC - DIGITALIZADOR;2337
01/02/2026;DIGITALIZADOR;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;CAESB (GDOC);CAESB GDOC - DIGITALIZADOR;3536
01/02/2026;DIGITALIZADOR;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;CAESB (GDOC);CAESB GDOC - DIGITALIZADOR;2328
01/02/2026;DIGITALIZADOR;SEG,TER,QUA,QUI,SEX - 13:00:00-19:00:00;CAESB (GDOC);CAESB GDOC - DIGITALIZADOR;3332
01/02/2026;DIGITALIZADOR;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;CAESB (GDOC);CAESB GDOC - DIGITALIZADOR;2325
01/02/2026;DIGITALIZADOR;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;CAESB (GDOC);CAESB GDOC - DIGITALIZADOR;2298
01/02/2026;DIGITALIZADOR;SEG,TER,QUA,QUI,SEX - 13:00:00-19:00:00;CAESB (GDOC);CAESB GDOC - DIGITALIZADOR;3533
01/02/2026;DIGITALIZADOR;SEG,TER,QUA,QUI,SEX - 13:00:00-19:00:00;CAESB (GDOC);CAESB GDOC - DIGITALIZADOR;3333
01/02/2026;DIGITALIZADOR;SEG,TER,QUA,QUI,SEX - 13:00:00-19:00:00;CAESB (GDOC);CAESB GDOC - DIGITALIZADOR;3334
01/02/2026;SUPERVISOR;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;CAESB (GDOC);CAESB GDOC - SUPERVISOR INTERPRETE;3426
01/02/2026;SUPERVISOR;SEG,TER,QUA,QUI,SEX - 13:00:00-19:00:00;CAESB (GDOC);CAESB GDOC - SUPERVISOR INTERPRETE;2403
01/02/2026;SUPERVISOR;SEG,TER,QUA,QUI,SEX - 07:00:00-13:00:00;CAESB (GDOC);CAESB GDOC - SUPERVISOR INTERPRETE;2311
01/02/2026;SUPERVISOR;SEG,TER,QUA,QUI,SEX - 13:00:00-19:00:00;CAESB (GDOC);CAESB GDOC - SUPERVISOR INTERPRETE;2319
